Food,Quantity,Units,Price,Year,FCD_id
"Pears, canned in juice",1,pound ,2.329038064,2023,
"Pears, canned in syrup ",1,pound,2.316963272,2023,
"Pineapple, fresh ",1,pound ,0.668427034,2023,
"Pineapple, canned in juice",1,pound ,1.721465817,2023,
"Pineapple, canned in syrup",1,pound,1.82757447,2023,
"Pineapple, dried",1,pound ,7.947966878,2023,
Pineapple juice,16,oz,1.374156691,2023,
"Pineapple, frozen juice concentrate",16,oz,3.039046885,2023,
"Plum, fresh ",1,pound,2.658223036,2023,
"Plum (prunes), dried",1,pound ,6.906399803,2023,
Plum (prune) juice ,16,oz,1.794818097,2023,
"Pomegranate, fresh ",1,pound ,2.475577389,2023,
Pomegranate juice,16,oz,3.187428646,2023,
"Raspberries, fresh ",1,pound ,7.966754529,2023,
"Raspberries, frozen ",1,pound,6.209611042,2023,
"Strawberries, fresh ",1,pound ,3.078734363,2023,
"Strawberries, frozen ",1,pound,3.46750705,2023,
Watermelon,1,pound ,0.405825415,2023,
